,InitVariableWithFunctionExpression,InitVariableWithExpression,InitVariableWithThisExpression,InitVariableWithUnaryExpression,InitVariableWithBinaryExpression,InitVariableWithCallExpression,InitVariableWithLogicalExpression,AssignWithFuncCall,AssignWithLogicalExpression,AssignWithBitOperation,AssignWithThisExpression,FunctionObfuscation,StringConcatation,ArrayConcatation,DecodeString_OR_DOM_FunctionCall,FuncCallOnBinaryExpr,FuncCallOnStringVariable,FuncCallOnCallExpr,AssigningToThis,ConditionalCompilationCode,DotNotationInFunctionName,LongExpression
52183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69537,0.9381443298969087,0.0,0.0,0.0,0.0,0.010309278350515436,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546296,0.0,0.0,0.0,0.020618556701030872,0.0,0.0,0.0,0.0,0.0
70236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30101892562976e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.30101892562976e-06,0.0,0.9999913979621486,0.0,0.0,0.0,0.0,0.0
75276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28974318575704777,0.0,0.0,0.0,0.0,0.46730738931778476,0.0,0.0,0.0,0.15416732314479525,0.0,0.0,0.0,0.0,0.08878210178037027
75297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15856236786469344,0.0,0.0,0.0,0.5421658444914341,0.0,0.0,0.0,0.0,0.2992717876438784
75304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10821484992101106,0.891785150078989,0.0,0.0,0.0,0.0
75308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07150313152400835,0.0,0.0,0.0,0.0,0.20511482254697322,0.0,0.07150313152400835,0.0,0.6518789144050086,0.0,0.0,0.0,0.0,0.0
75312,0.0,0.8500519007635507,0.0,0.0,0.0,0.036958778294068434,0.0,0.0,0.0,0.0,0.0,0.0,0.07603054264829824,0.0,0.0,0.0,0.036958778294068434,0.0,0.0,0.0,0.0,0.0
75321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.36711711711711714,0.0,0.0,0.0,0.13288288288288289,0.0,0.0,0.0,0.0,0.25
75322,0.02503725621127042,0.01615603549305211,2.403158711810804e-06,0.0,0.10360937877356517,0.07179359409582617,0.0,0.17612944918705264,0.0,0.0,0.004426006774073066,0.005612864728886829,0.5107092245805659,0.0,6.278252134605726e-05,0.0,0.02181869942091899,0.0,0.04094631263931088,0.0,0.02047315631965544,0.003222836095764272
75323,0.05016048241803256,0.019428408712222033,0.0,0.013615340617770257,0.06647440103346307,0.2006586827076859,0.0,0.135736261278166,2.0971395017196544e-05,0.00023013805800534742,1.4101455270183883e-05,0.0,0.48001190144095557,0.0,0.01687601987112578,0.005174416345584296,0.0015883479556067113,0.008897303178798784,0.0,0.0,0.0,0.0011132235323060018
75325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254499042756858,0.0,0.0,0.0,0.0,0.09776643267389987,0.0,0.0,0.0,0.1803446075303129,0.12512231440119292,0.0,0.0,0.0,0.3422676026377318
75326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75327,0.0,0.0,0.0,0.0,0.1090838859202953,0.19204606419567827,0.0,0.03102680705204399,0.0,0.0,0.0,0.0,0.5018431921090697,0.0,0.0,0.0,0.0918478547140081,0.0,0.0,0.0,0.0,0.0741521960088863
75328,0.0,0.0,0.0,0.0,0.02751485954220567,0.4355713307925615,0.0,0.0001061393685125445,0.0,8.078849571820972e-06,0.0,0.0,0.3740107725749719,0.0,8.078849571820972e-06,0.0,8.078849571820972e-06,0.0,0.0,0.16277266117305278,0.0,0.0
75329,0.017549331322349617,0.0014729342503413763,0.00017340674233221455,0.0009598333279149422,0.044088969838564945,0.16515764625551166,0.0065644945183492695,0.0956201718320786,0.00863137268918792,0.03148407222575641,0.018211804892310595,4.0121648839280695e-06,0.47765553446506864,0.0009473407666729719,0.04639194771405665,0.002245936419191056,0.030297975087174363,0.040207432224586365,0.006619735128369528,0.0,0.004038963213824351,0.0
