,in_main,in_if,in_loop,in_function,in_return,5,6,7,8,9,10,11,12,13,14
1828,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1854,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1910,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1917,0.625,0.0,0.0,0.375,0.0,0,0,0,0,0,0,0,0,0,0
1918,0.625,0.0,0.0,0.375,0.0,0,0,0,0,0,0,0,0,0,0
1924,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1947,0.4705882352941167,0.029411764705882294,0.20588235294117616,0.29411764705882343,0.0,0,0,0,0,0,0,0,0,0,0
1949,0.625,0.0,0.0,0.375,0.0,0,0,0,0,0,0,0,0,0,0
1952,0.5026106125683159,0.0,0.010442450273263489,0.48694693715842075,0.0,0,0,0,0,0,0,0,0,0,0
1953,0.46875,0.03125,0.1875,0.28125,0.03125,0,0,0,0,0,0,0,0,0,0
1955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1956,0.6662880774261299,0.0,0.0,0.33371192257387033,0.0,0,0,0,0,0,0,0,0,0,0
1960,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1969,0.6049552468404111,0.12624658227047872,0.007159451898914229,0.2616387189901959,0.0,0,0,0,0,0,0,0,0,0,0
1970,0.5999999999999999,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1972,0.5071953213694212,0.12783595724588395,0.016286496449025026,0.3486822249356698,0.0,0,0,0,0,0,0,0,0,0,0
1974,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1975,0.6666666666666667,0.0,0.08333333333333333,0.25,0.0,0,0,0,0,0,0,0,0,0,0
1976,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1977,0.6298802706923476,0.0,0.0010411244143675171,0.3680374804789172,0.0010411244143675171,0,0,0,0,0,0,0,0,0,0
